,ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
8185,1245239608788389894,Really just waiting for the corona virus to come out as an april fools joke. cant even be mad that mf got us good no cap,0,0,0,0,0,1,0,0,0,0,1
7932,1245235657846296577,"CORONAVIRUS UPDATE: 2 COVID-19 PATIENTS DIE IN WEST BENGAL, DEATH COUNT RISES TO SIX - HEALTH OFFICIAL",0,0,0,0,0,0,0,0,1,0,0
4912,1245195786289381376,guys this pandemic stuff is so serious that even the corona virus got cancelled,0,0,0,1,0,0,0,0,0,0,1
5707,1245205555699802113,"Can't wait for April 1st being a shitshow.
I'll break anyone who makes corona jokes at this rate.",0,0,0,0,0,0,1,0,0,0,0
4650,1245192133105061888,Imagine waking up at tommarow and the president telling us Coronavirus this was all a joke ....,1,0,0,0,0,0,0,0,0,0,1
5499,1245203033828589569,"Okay it’s April fools, someone plz tell me all this corona shit is a sick joke",0,0,0,1,1,0,0,0,0,1,1
868,1245146537665142784,Bout to take my phone to the computer guy to get rid of this coronavirus.prog trojan everyone is so fucking scared of.,0,0,0,0,0,0,1,0,0,0,1
3221,1245173904324222982,@Caviar Where is the incentives for Los Angeles?!? Now is the time we need them more than ever. #coronavirus #COVID19,0,0,0,0,0,0,1,0,0,1,0
1329,1245151217648631811,@ my daddy telling me “ we family ain’t nobody got the corona “ sound dumb asf😭😂😂,0,0,0,0,0,0,0,0,0,0,1
9523,1247852035782868993,This fucking moron I know thinks that George Soros owns the WHO and helped to create the coronavirus..... Jesus fucking Christ.,0,0,0,0,0,0,1,0,0,0,0
8814,1245249138482130946,"While Corona virus may not be the funniest meme ever, it sure is the most viral.",0,0,0,0,0,0,1,0,0,1,1
546,1245143719789002753,How long do you think Australia’s borders will be closed? Please retweet and share! #coronavirus #covid19Australia,1,0,0,1,1,0,0,0,0,0,0
5055,1245197377956229120,Is Seva Bharati trust accepting donations for Covid19 crisis? Please pass on the info if you have. TIA.,0,0,0,0,0,0,0,1,0,1,0
8591,1245245874948567040,coronavirus jokes aren't funny at all dude ppl r dying,0,0,0,1,0,0,1,0,0,0,0
5142,1245198480114581504,"Quebec Premier François Legault says all stores, including essential services, will be closed on Sundays.

#COVID19
#Quebec",0,0,0,0,0,0,0,0,1,0,0
6896,1245219929441222656,CORONAVIRUS LOCKDOWN DAY ONE: Jesus Christ Cancels Return To Earth Amid Pandemic,0,0,0,1,0,0,0,0,0,0,1
418,1245142757913616384,if you worked your ass off for 4 years but won’t get to graduate and celebrate all your hard work because of coronavirus say I...,0,0,0,0,0,1,0,0,0,0,0
7625,1245230918207303680,@narendramodi  sir after Corona win plz introduce education to compulsory for all religion .,1,0,0,0,0,0,0,0,0,1,0
5625,1245204531840978946,So if corona is in The air and We open our windows doesnt that mean is in the crib chilling wit us?,0,0,0,0,1,0,0,0,0,1,0
312,1245141725968060417,"@dwsjca Awful late in the game when your the global hub for the Corona invasion, jus sayin",0,0,0,1,0,0,1,0,0,0,0
7456,1245227961961181184,Hello april 🌝 please be nice to me. Get rid of corona faster lahh 😭,0,0,0,0,0,1,0,0,0,0,1
4310,1245187603147698177,#PhysicalDistancing and cranking up our immune systems with healthier habits are our best bets in our personal war against Coronavirus. 2/2,1,0,0,0,0,0,0,0,0,0,0
1442,1245152505094438912,2am playstation party chats hit differently. fuck Corona Virus.,1,0,0,0,0,0,0,0,0,0,1
7934,1245235695632998400,fingers crossed that tomorrow the government will reveal that coronavirus was just a very elaborate april fools prank,0,0,0,1,0,0,0,0,0,0,1
6710,1245217480261488640,SO HELP ME GOD IF I CLICK THE HOME BUTTON INSTEAD OF THE PLAY BUTTON ON MY FIRE STICK REMOTE ONE MORE TIME IM GIVING MYSELF CORONA.,0,0,0,1,0,0,1,0,0,0,1
4745,1245193458891075584,Hi sir please take over all private hospitals &amp; medical. Colleges for three month period to treat covid 19 patients.,1,0,0,0,0,0,0,0,0,1,0
9371,1247848835180830720,Why are there no social distancing measures in the co op? Just been in my local one and it's a disgrace #coop #COVID19,0,0,0,0,0,0,1,0,0,0,0
4319,1245187763311427589,Yea I’m staying in Cleveland ppl got corona foreal 🥴,0,0,0,0,1,1,0,0,0,0,1
1700,1245155483197063175,Welcome April !!!!! Welcome bulan penuh ampunan😇😇😇!!!!!Byebye covid-19!!!!!,1,0,0,0,0,0,0,0,0,0,0
7129,1245222905769672706,Respiratory Therapists are at the frontlines with the corona virus too along with nurses and drs. We (RTs) deserve credit too.,0,1,0,0,0,0,0,0,0,0,0
3546,1245178342791405569,Gonna be deadass ‘I’ve got coronavirus’ jokes all day instead of the classic pregnant jokes enit. smh might sleep all day to avoid it,0,0,0,0,0,0,1,0,0,0,1
6264,1245212404427808768,I sympathize with those compatriots who lost their loved ones this year due to the Corona virus and express my condolences. # Stay home,1,0,1,0,0,0,0,0,0,0,0
8978,1245251713340264449,Got up at a normal pre Corona time and rah when this is all over the readjustment will hit hard,0,0,0,1,1,1,0,0,0,0,0
978,1245147501805604864,Rx (Medicate)-Theory of a Deadman is literally the theme song to the coronavirus epidemic.,0,0,0,1,0,0,0,0,0,1,1
4651,1245192141300813824,my mom’s boyfriend is in the hospital because he has corona &amp; I’m not saying it’s like karma or anything but..............,0,0,0,0,0,1,1,0,0,0,1
8785,1245248543058735104,Little disappointed this coronavirus thing wasn't an April fool's joke 👎,0,0,0,0,0,1,1,0,0,0,0
9760,1247857596259880961,Guarantee nobody with a Twitter account has got Coronavirus with all the healing crystals knocking about,1,0,0,0,0,0,0,1,0,0,1
7005,1245221384143306752,Tomorrow is April fools. I hope the government says corona is all a big joke.,1,0,0,0,0,0,0,0,0,0,1
1299,1245150848684101633,this corona shit is kinda scary.... tell me sum u always wanted to tell me 👀,0,0,0,0,1,0,0,0,0,0,0
2055,1245159388299636737,@WWE y'all need to cancel wrestling ❗no fans look terrible and Make the script uninteresting #CODVID19 #coronavirus,0,0,0,1,0,0,1,0,0,0,0
7097,1245222492467314691,"Guys, my mother's corona test came back positive. 
So that means the house in infected.
Peace peace, guys ⚰️",0,0,0,0,1,1,0,0,0,0,0
4389,1245188652172488707,"... a once in a lifetime opportunity to stay in the house, sit on the couch, and watch TV. #COVID19 #LarryDavid",1,1,0,0,0,0,0,0,0,0,0
3918,1245183106996473857,"us coronavirus
underwood coverage
up central
updates cruise
under cases
usa could
unwitting chief
united colin",0,0,0,0,0,0,0,0,1,1,0
8747,1245247964328513537,what if the coronavirus is just one huge April fools joke hahah bad joke,0,0,0,0,0,0,0,0,0,0,1
8594,1245245916396711937,Soooo when’s the CDC releasing the April Fools announcement about the corona virus??,0,0,0,0,1,0,0,0,0,0,1
4594,1245191324183093249,"In the 24 hours to 11am, 4,525 people died around the world due to coronavirus",0,0,0,0,0,1,0,0,1,0,0
4687,1245192522999025664,"Har cheez free me dene wali government ne Corona bhi free me diya is desh ko.
#Shame on @ArvindKejriwal govt.",0,0,0,0,0,0,1,0,0,1,0
9787,1247858208632258560,it’s high time india should convert some building into temporary corona hospital like in London Excel centre is now converted into Hospital.,1,0,0,0,1,0,0,0,0,0,0
8466,1245244205913554951,It really sucks going from $200-$400 a day to $135 in a whole week. But I guess it’s better than nothing☹️#unemployment #coronavirus,1,0,0,0,0,1,0,0,0,0,0
6403,1245213869418651650,Back 2 school! For one day 😥 #COVID19 #notbetreuung #twlz,0,0,0,0,0,1,0,0,0,0,0
6657,1245216825148870656,Patiently waiting for the government to say April Fools on this COVID-19😅😅#AprilFoolsDay #COVID19,1,0,0,0,0,0,0,0,0,0,1
8090,1245238069109768192,"Have you or anyone you know been affected by COVID-19 (tested positive, recovered, passed away)?

#coronavirus #COVID19 #Covid_19",0,0,0,0,0,0,0,0,1,1,0
4360,1245188233249484801,Donate to help the #PPEshortage for masks. Hospital workers are dying and they need our support. #coronavirus,1,1,0,0,0,0,0,0,0,0,0
2613,1245166477965131777,"Maybe tomorrow the gov will be like APRIL FOOLS the covid19 was all a lie, go back to ur normal lives 😅😩☹️",1,0,1,0,0,0,0,0,0,0,1
6137,1245210757618454531,This whole month has been worse than my 15 years of life. 🦠 @corona,0,0,0,0,0,1,0,0,0,0,0
2689,1245167814631133189,please stop writing corona themed fan fiction episodes of your favorite tv shows you freaks,0,0,0,0,0,0,1,0,0,0,0
9646,1247854601568522242,Psychopaths stupid policies cannot prevent the spread of coronavirus infection.,0,0,0,0,0,0,1,0,0,0,0
2140,1245160416444952577,"Can y’all stop saying you have corona jokingly because it’s April Fools ?¿?

There’s people that are dying out there, Kim.",0,0,0,0,0,1,1,0,0,0,0
1727,1245155785925001216,"people~ “2020 is going to be my year! It’s gonna be amazing!!!”  

Corona~ “not if I have anything to do with it 😉😌😏”",1,0,0,0,0,0,0,0,0,0,1
9022,1245252532030459905,Your Covid19 jokes and pranks are insensitive af. People are actually dying because of the virus.,0,0,0,0,1,1,1,0,0,0,0
2231,1245161657762041856,For heaven’s sake no one come up with oh cough blah blah and i have corona and then be like april fool,0,0,0,0,0,0,1,0,0,0,1
4946,1245196256818929665,"Maaaaan. The pen is flowin. I been knocking out ALOT of features. I should just release somn new.
#newmusic #Quarantine #COVID19 #hiphop",1,0,0,1,0,0,0,0,1,0,0
9439,1247850504669016064,I think the worst thing about coronavirus is not being able to properly grieve the deceased at funerals.,0,0,0,0,0,1,0,0,0,0,0
4364,1245188261800300550,The UNSEEN GROUP has a agenda but this corona virius plauge came out of nowhere SHUTTING DOWN THE MATRIX WHEELS,0,0,0,1,0,1,0,0,0,0,1
257,1245141174010220544,"@kylegriffin1 Alabama,Louisiana,Texas and Mississippi stats for Covid19 will be rising....soon.",0,0,0,1,0,0,0,0,0,0,0
8786,1245248584297132033,That MTN Coronavirus measage before the call actually goes through can really taste your patience,0,0,0,0,0,1,1,0,0,1,0
5388,1245201767144579072,Shoutout to all my fellow April babies 🥳🥳 ... Corona can guh suck it madda .... we still goin find a way fi celebrate 😭,1,0,0,0,0,0,0,0,0,0,0
5140,1245198420689772544,Some one tell me why my bf thought it would be a good idea to yell “I got Corona!” while he was pumping gas at a busy gas station.... smh,0,0,0,0,0,0,0,0,0,0,1
5375,1245201659661291520,i’m gonna go to sleep and when i wake up they better announce the coronavirus was just a big april fools day joke,0,0,0,1,1,0,0,0,0,1,1
4445,1245189276842819584,@ACLU please sue the president for withholding help from states in need during the Coronavirus.,0,0,0,0,0,0,1,0,0,1,0
6599,1245216104496029697,miss corona pls consider.. just let me having fun wif nisni,0,0,0,0,1,1,0,0,0,0,1
9771,1247857928163426304,"Peter Navarro told Trump the coronavirus would kill 500,000 Americans back January. @cspanwj",0,0,0,0,1,0,1,0,0,1,0
8886,1245250279068463106,"Congratulations Corona has come to India and converted to Islam ...
 # Dalal Media taught Kalma.",0,0,0,1,0,0,1,0,0,0,1
7321,1245225830848086019,Someone gonna make and April fools joke today sayin “corona virus has muted and now has a 75% lethality to everyone”,0,0,0,0,0,0,1,0,0,0,1
880,1245146663620050949,Everyone in my neighborhood has apparently purchased a dog and walking shoes in the past two weeks. #coronavirus,1,1,0,0,0,0,0,0,0,1,0
7189,1245223896594272256,"I was planning to fool people today saying that I have coronavirus lekin fir socha chhodo, jyada ho raha hai 😔",0,0,0,0,0,1,1,0,0,0,1
4672,1245192376903241728,How many Americans are projected by the CDC to die under President Trump’s leadership during  #COVID19 ?,0,0,0,1,1,0,1,0,0,0,0
2393,1245163722047459334,"“if you plan ahead, then when things happen, you’re prepared” -hank hill

#COVID19",1,0,0,0,0,0,0,0,1,0,0
9152,1245254125677416448,Put ya pussy lips onna X-ray and I’ll give ya Da cure to Corona,0,0,0,0,0,0,0,0,0,0,1
5374,1245201645744664576,cool so can coronavirus pls be an april fools joke. please. Please. i promise i wont get mad,1,0,0,0,0,0,0,0,0,0,1
1237,1245150148260327425,@ATTHelp Why does a technician have to come into my home to upgrade my internet speed? #coronavirus #Covid_19,1,0,0,0,1,0,1,0,0,1,0
5492,1245202962604896256,2-ton medical equipment donated from The People's Liberation Army arrived #Cambodia this morning to combat the #COVID19.,0,1,0,0,0,0,0,0,1,0,0
8950,1245251220303986688,BORUTO ANIME WILL GO ON A HIATUS STARTING APRIL 30 DUE TO CORONA VIRUS,0,0,0,0,0,1,1,0,1,0,0
843,1245146378151526400,"USS Roosevelt

If we've got a pleading Captain, we've got a bigger problem on that boat than Coronavirus

😼🖤🇺🇸™",0,0,0,0,1,1,0,0,0,1,0
3673,1245179827122028545,my unt professors are always the most understanding and accommodating &amp; i just really appreciate that in these crazy corona times,1,1,0,0,0,0,0,0,0,0,0
7970,1245236160546422785,Sounds like the Germans had their towels on the COVID-19 test kits then 😁 #GMB #coronavirus,0,0,0,0,0,0,0,0,0,0,1
5237,1245199750699180033,@PMOIndia @HMOIndia how do you plan to dispose of bodies of those deceased due to covid19?,0,0,0,1,0,1,0,0,0,1,0
3880,1245182695623102465,"Every time I randomly cough, I get a wave of anxiety and start overthinking 😂 #coronavirus #GotMeFuckedUp",0,0,0,0,1,0,0,0,0,0,1
3087,1245172236161613826,“Oh my god John McCain died? Did he die of corona?!” - @gilstraap,0,0,0,0,1,1,0,0,0,1,0
7424,1245227537954824192,"Muslim areas are super spreader of corona viruse , please stay away from these area and people too",0,0,0,0,1,0,1,1,0,0,0
3730,1245180506775437312,I’m just waiting for trump to come over all TVs tomorrow and say the coronavirus is a big April fools joke😅😅 jk... unless,0,0,0,0,0,0,0,0,0,0,1
4362,1245188254204334083,I’m definitely not ready for SoundCloud rappers to be like my flow the nicest I’m sicker than the coronavirus 😖😖😖 I don’t want to hear it,0,0,0,0,0,0,1,0,0,0,1
9450,1247850743647920128,"Very soon!! My friends in the east will be like..
I love you covid smile my corona. Give me your line so we may speak in isolation.😂",0,0,0,0,0,0,0,0,0,0,1
9833,1247859447805784064,"One more negative, Total cases cured of #COVID19 is 11 in #Ladakh. 78% #coivd19 cases cured so far: Rigzin Samphel #KashmirMirror",1,0,0,0,0,0,0,0,1,1,0
8265,1245241076887121920,Meanwhile a shipment of Covid19 test kits on the way to UK were found to be contaminated with the virus.,0,0,0,0,1,1,0,0,1,0,0
5253,1245200044703137792,"Bas kuch kadam door apne jeet haii
corona ke ladai sb sath melkar lade

Safe our nation 

Stay safe!!!Stay home

#CoronaVirusUpdate",1,0,0,0,0,0,0,0,0,0,0
382,1245142389087330304,@shannonrwatts So lucky that he has over 9k new #COVID19 cases in just the past 24 hrs... 🤬🦠😷,0,0,0,0,0,0,1,0,0,0,0
7309,1245225646739111939,if anyone does a coronavirus April's fools prank they're a bad person,0,0,0,0,0,0,1,0,0,0,0
8171,1245239294509359109,"I wonder how long it will take til some people start making I have coronavirus jokes , I fucking hate April",0,0,0,0,0,0,1,0,0,0,0
6894,1245219895383646210,"Dont EVEN THINK about posting that you tested positive for #Covid19 today for April fools, this is no time to joke about it!",0,0,0,0,0,0,1,0,0,0,0
5629,1245204590066372609,"Drive in voting? Okay, Joe actually HAS lost it. 
#coronavirus 
#driveinvoting",0,0,0,0,0,1,0,0,0,1,0
2727,1245168285424873472,Corona Aka Crown 👑 Chakra use it and turn the TV 📺 off,1,0,0,0,0,0,0,0,0,0,1
5009,1245196902238281728,India is affected with two virus first one is Corona and second is shameful and very scary #मीडिया_वाइरस,0,0,0,0,1,0,1,0,0,0,0
1083,1245148441761558528,Ay corona time got a whole new meaning to it 😂,0,0,0,0,0,0,0,0,0,0,1
1490,1245153164447428612,I think the “of you’ve ever....you’re immune to the Coronavirus ” posts are insensitive. I don’t like them. Never have. Never will.,0,0,0,0,0,1,1,0,0,0,0
7400,1245227073310011392,"Stay at home. 

 #COVID19 Update:
 Country: Colombia
Total Cases: 906
Total Deaths: 16
Total Recovered: 31
Total Active Cases: 859",0,0,0,0,0,0,0,0,1,0,0
7256,1245224979521835008,Someone explain to me how coronavirus has gotten so bad in America ain’t they meant to have tighter borders dhdhdhdh💀💀,0,0,0,0,0,1,1,0,0,0,1
2588,1245166187882975234,Hey @NYGovCuomo how about getting the school nurses that aren’t working at schools to work on #COVID19,1,1,0,0,0,0,1,0,0,0,0
3986,1245183922050224128,Ay my boy figured out the cure to the corona virus. Good shit,1,0,0,0,0,0,1,0,0,0,1
4121,1245185166982733833,I'd like to think that @HulkHogan is somewhere sewing his bandanas into #coronavirus masks.,1,1,0,0,0,0,0,0,0,0,1
6210,1245211788729151488,@vgyalakshmi sis Any idea of accepting head shave challenge for nurse who worked against corona covid 19...????,0,0,0,0,0,0,0,0,0,1,1
80,1245139477917577216,Happy new month fam! May the corona thing end in Jesus name 🙏,1,0,1,0,0,0,0,0,0,0,0
6118,1245210554932899840,So tomorrow am I gonna wake up and this whole corona virus is gonna be a big April fools joke?,0,0,0,0,0,0,0,0,0,1,1
8516,1245244818877321217,"march saw the US coronavirus cases go from 42 to 182,000",0,0,0,0,1,0,0,0,1,1,0
9575,1247853121805733888,Honestly wish the Corona virus would magically disappear and everyone gets better and everything back to normal like it never happened 😔,1,0,1,0,0,1,0,0,0,0,0
3879,1245182617177272323,"even with this Corona shit goin on my focus is to make it. 

when this blows over I gotta attack.",0,0,0,1,0,1,1,0,0,0,0
9717,1247856452485681155,Look upto sky and say thanks to god ur alive yet think about those who lost their lives coz of corona 🤞🏼,1,0,1,0,0,0,0,0,0,0,0
1477,1245153030023942144,They need to free my Nigga @Joegee619 . I’m afraid he might get corona 😂,0,0,0,0,1,0,0,0,0,0,1
6122,1245210596900884481,guys i actually tested for corona today so if i tweet i got it tomorrow it’s not a joke codnxksnoxsndk,0,0,0,0,1,0,0,0,0,1,0
1372,1245151620842663936,i drove my mom to pick her stuff up from work but she works in a healthcare building so it’s corona time i guess,0,0,0,0,1,0,0,0,0,0,1
6763,1245218045397618688,"After tabligi jamate problem, in today’s scenario of Covid19 should we keep distance from every Muslim for our safety ?????",0,0,0,1,1,0,0,0,0,1,0
835,1245146251340976128,"Stay at home. 

 #COVID19 Update:
 Country: Norway
Total Cases: 4,641
Total Deaths: 39
Total Recovered: 13
Total Active Cases: 4,589",0,0,0,0,0,0,0,0,1,0,0
6901,1245219977793277953,I’m getting sick and this corona shit got me scared idk if its my allergies or dat😭😭,0,0,0,0,1,0,0,0,0,0,0
1657,1245155013145616384,"Face screening in China 
As #CoronaPandemic curve go up in multiple Countries
#CoronavirusOutbreak",0,0,0,0,0,1,0,0,1,1,0
1248,1245150257178120192,"When are they going to kick Pence off this coronavirus task force show, the guy is boring.",0,0,0,0,0,0,1,0,0,0,0
3739,1245180640515022848,Imagine waking up tomorrow just to hear this CORONAVIRUS was a #AprilFoolJoke ide fuck somebody up 😂😂🙏🏾,0,0,0,0,0,0,1,0,0,0,1
7028,1245221615987601408,"who : holy shit its pandemic 
corona : april mop bitch !! 
world : WTF 😒😒",0,0,0,0,0,1,1,0,0,0,0
2038,1245159182921273344,"Baby H-E-B extended the corona pay until May 10th. Whew, once all this shit over Im gone be that $2 raise.",1,0,0,0,0,0,0,0,1,0,1
5030,1245197129708187648,It's a new month anyone and who has spammed me with coronavirus videos and memes on WhatsApp is being left in March. 👋🏾🤷🏾‍♀️ #blocked,0,0,0,0,0,0,1,0,0,0,0
1885,1245157488984547329,@notaxation who do we blame for coronavirus pandemic in USA Dems or Republicans and fishy this happens in an election year?🤔,0,0,0,0,0,1,0,1,0,0,1
6759,1245217988241850368,"“Τhe test of a civilization is the way that it cares for its helpless members.”
- Pearl Buck

Something to consider during #COVID19",1,0,0,1,0,0,0,0,0,1,0
2381,1245163519399669760,Gonna start counting how many tweets I see about the coronavirus being an April Fools’ prank,0,0,0,0,0,0,1,0,0,0,1
2401,1245163892944314371,Man I heard somebody in China ate a Bat🦇 and that’s how this Corona Shxt started...that’s what I HEARD mane,0,0,0,0,0,0,0,0,0,1,1
1424,1245152228681191425,Listen gang...if you don’t watch @GameOfThrones by the end of all this you never will. #coronavirus#GoT#BingeMode,1,0,0,0,0,0,0,0,0,0,1
3709,1245180242957910030,"last time i was here, i was sick of this shit
i’m back wit coronavirus",0,0,0,0,0,1,1,0,0,0,0
8490,1245244486323765248,"#coronavirus OFFICIALLY SUX! 
OFFICIALLY BLOWS! 
OFFICIALLY BITES!

R.I.P. Prof. Gita Ramjee",0,0,0,0,0,1,1,0,1,0,0
5500,1245203044243030017,Tell my brother @_Kareem12 happy bday else you getting corona 😁,0,0,0,0,0,0,0,0,0,0,1
4163,1245185723998797824,"Apples new covid 19 app only work on new iPhones.(rich peoples phone)

@apple #COVID19",0,0,0,0,0,0,1,0,0,0,1
7095,1245222474561638400,"@narendramodi sir, Instead of relaxing and focusing on meditation, yoga, people's thoughts are fixed on Corona 24 ×7 which is not right",1,0,0,1,0,1,0,0,0,0,0
752,1245145614482132993,Tornado and Earthquake in the USA today and coronavirus situation? World is ending,0,0,0,1,1,0,0,0,0,0,0
6441,1245214154845229057,What if we wake up to us getting April fooled by the government and the coronavirus was just an April fools joke,1,0,0,0,0,0,0,0,0,0,1
1511,1245153419914076170,"Folks. You really should follow @ldobsonhughes for #COVID19 updates, or you’re not already. 🔥",0,1,0,0,0,0,0,0,1,1,0
9930,1247861778295468039,It’s the coronavirus that will stop Liverpool winning the title. I’ve had enough 😞,0,0,0,1,0,1,1,0,0,0,0
6345,1245213284866772992,The Social Determinants of Health still apply during a pandemic (even more) #SDOH #COVID19,0,0,0,0,0,0,1,0,0,1,0
7356,1245226343366787073,"It’s April fools, y’all can say April fools towards this whole coronavirus thing now 😐",0,0,0,1,0,0,0,0,0,0,1
5084,1245197816533790721,The handling of #COVID19 in the #USA has proved it is no longer the #superpower the world had admired (or feared) once.,0,0,0,0,0,0,1,1,0,1,0
9153,1245254133759774720,Trump haters secretly enjoying the Corona virus' rampage through the USA. Despicable but unsurprising.,0,0,0,0,0,0,1,1,0,0,0
3088,1245172254008389633,I’m not sure it’s Corona related. Of course all of our friends think so.,1,0,0,0,1,0,0,1,0,1,0
3642,1245179483755184128,We are in the middle of a global pandemic and we have fuckaritxs posting shit like this 🤦🏽‍♂️ #coronavirus,0,0,0,0,0,1,1,0,0,0,0
8034,1245237185491632128,"These corona farts packing a punch, that’s home grown baby whew",0,0,0,0,0,0,1,0,0,0,1
5522,1245203378529058816,All you parasites we call humans need to stay inside so us dirt eating hobbyists can enjoy some racing! #COVID19 #Summer2020,1,0,0,0,0,1,1,0,0,0,0
4352,1245188090429206528,So proud of the #ShelterInPlace being extended in the #BayArea. Our politicians are comparatively smarter than the rest!! #COVID19,1,1,0,0,0,0,0,0,0,0,0
9672,1247855301912662016,So easter weekend coming up. How much you wanna bet we see an uptick of Covid19 spread in two weeks?,0,0,0,1,1,0,0,0,0,1,0
6571,1245215906566823937,"@sameergafoor thank you, growth zone puts things in perspective #covid19",1,1,0,0,0,0,0,0,0,0,0
2634,1245166937916801024,"What will you do if your bank deduct  5k from your account and say it is your donation to fight corona virus in Nigeria, what will you do.",0,0,0,0,1,0,1,0,0,1,0
3600,1245178959664418819,It’s gonna be 70 next week corona finna snap cuz Chicago will not be in the house,1,0,0,1,1,0,0,0,0,0,0
9552,1247852648184725506,Just ordered Chinese food... Cos I don't give a fuck about fake ass #coronavirus 🖕🖕🖕,0,0,0,0,0,0,1,1,0,0,0
3733,1245180544033456128,"Are there any guidelines? I could not find anything on the @CDC website, but maybe I missed it…?

#COVID19",0,0,0,0,1,0,0,0,1,1,0
9306,1247847635081404416,#coronavirus just hit home. My cousin who is a nurse got it and my best friends 90 year old grandmother. 😢#StopTheSpread,0,0,0,0,1,1,0,0,0,0,0
1020,1245147841116454914,Today goes to show you how much @CNN really cares about the American people. #FakeNews #Trump2020 #coronavirus,0,0,0,0,0,0,1,1,0,1,1
9311,1247847795790315520,"ain’t nun to tweet bout now. cheers corona, son’s crying now 👍🏿",0,0,0,0,0,1,1,0,0,0,1
1559,1245153910291075075,Lord God seek deliverance from the #coronavirus so that our fears may be turned towards trust and thanksgiving. #Prayer,0,0,1,0,1,0,0,0,0,0,0
7335,1245226048347922432,"Brothers and sisters, In Africa covid 19/corona virus is affecting us seriously",0,0,0,0,1,0,0,0,0,0,0
2059,1245159405915701250,#BREAKING Premier @jjhorgan extending B.C.'s #COVID19 state of emergency,0,0,0,0,0,0,0,0,1,1,0
557,1245143814655836166,"@lizl_genealogy @agordonreed There is also BC (Before Corona) and AC, which I hope to see someday.",1,0,0,0,0,0,0,0,0,0,0
9673,1247855348301602817,Bro the Corona really got me and my boys in our feels 😠 all were allowed to do is game with eachother.,0,0,0,0,0,0,1,0,0,0,0
2301,1245162479912660995,My sister @LEXFINESSIN is having her baby in May Corona please go away 😭,0,0,0,0,1,1,0,0,0,0,0
6656,1245216821424373760,"Ok, it’s 12:09am central time on April Fools Day, now we can admit the coronavirus was just a big prank right? 😅",1,0,0,1,0,0,0,0,0,0,0
8845,1245249717421977600,Satellite images show decline in air pollution over Italy amid coronavirus lockdown.,1,0,0,0,0,1,0,0,1,0,0
6077,1245210150799052805,I’m immune to corona virus cause I used to lick 2 fingers and rub them in the dirt before before each batter got into the box 🥴😂,0,0,0,0,0,0,0,0,0,0,1
